req	id	src_section	src_lines	kind	actor	condition	obligation	exceptions	dest	a1_dest	disposition	multi_actor	tag	note	text
REQ-104	S2-025	Access Request Endpoint	385	keyword	PEP	`client.source` present	`session_id` OPTIONAL string identifying the bounded interaction context that produced the request	-	19	19	move	no	feature	explicitly not an authentication or authorization session identifier	* `session_id`: OPTIONAL. String. Identifier of a bounded interaction context that produced the request, such as a chat or agent conversation, a web or mobile application session, a CLI invocation, or a long-running workflow thread. This is an audit-origin identifier and is distinct from any authentication or authorization session associated with the caller.
REQ-105	S2-026	Access Request Endpoint	386	keyword	PEP	`client.source` present	`external_url` OPTIONAL HTTPS URI of the external system that motivated the request	-	19	19	move	no	feature	URL-trust rules at 1230-1232 are separate and stay under their own heading	* `external_url`: OPTIONAL. HTTPS URI. URL of an external system (ticket, document, dashboard, chat thread) that motivated the request.
REQ-106	S2-027	Access Request Endpoint	387	keyword	PEP	`client.source` present	`integration_id` OPTIONAL string identifying the upstream integration or workflow	-	19	19	move	no	feature	-	* `integration_id`: OPTIONAL. String. Identifier of an upstream integration or workflow that produced the request.
REQ-107	S2-028	Access Request Endpoint	389	keyword	ARS	`client.actor` or `client.source` present in a submission	MUST NOT rely on them as authorization input unless the values are independently verified by the service	values the service independently verifies MAY be relied on	6	6	stay	no	encounter-rule	plan Section 4 named collision: 389 stays in 6 as a service obligation and 19 cross-references it. Near-duplicate at 1136 rejected for consolidation, see report	The `actor` and `source` objects are supplied for authorization, routing, and audit correlation. The Access Request Service MUST NOT rely on `client.actor` or `client.source` as authorization input unless the values are independently verified by the service.
REQ-108	S2-067	Access Request Endpoint	391	keyword-free	Definition	-	each `denial` field maps to one member of the denied evaluation response; the object does not echo the full Decision	-	6	6	stay	no	definition	lead-in for the denial echo table at 393-409	The `denial` object has the following members. Each field maps directly to a single member of the PDP's denied evaluation response; the `denial` object does not echo the full AuthZEN Decision because the binding material (`evaluation_id` and `binding_token`) provides stronger evidence of the denial than a verbatim JSON echo could.
REQ-109	S2-029	Access Request Endpoint	393-394	keyword	PEP	`denial.binding_token` absent (REQUIRED) or present (RECOMMENDED)	`evaluation_id` echoed unchanged from `context.evaluation_id`; SHOULD be preferred over `evaluated_at` alone	-	6	6	stay	yes	core	split-row with S2-068 (ARS MUST be able to resolve or validate it); both dest 6	`evaluation_id`: : REQUIRED when `denial.binding_token` is absent; otherwise RECOMMENDED. A stable identifier for the denied evaluation, captured by the PEP from `context.evaluation_id` in the AuthZEN Decision and echoed unchanged here ({{evaluation-identifier}}). The Access Request Service MUST be able to resolve or validate `evaluation_id` before relying on it as denial-binding material. `evaluation_id` provides the strongest audit binding between the original denial and the submitted Access Request and SHOULD be preferred over `evaluated_at` alone.
REQ-110	S2-068	Access Request Endpoint	393-394	keyword	ARS	relying on `evaluation_id` as denial-binding material	MUST be able to resolve or validate `evaluation_id` before relying on it	-	6	6	stay	yes	core	split-row partner of S2-029; both dest 6	`evaluation_id`: : REQUIRED when `denial.binding_token` is absent; otherwise RECOMMENDED. A stable identifier for the denied evaluation, captured by the PEP from `context.evaluation_id` in the AuthZEN Decision and echoed unchanged here ({{evaluation-identifier}}). The Access Request Service MUST be able to resolve or validate `evaluation_id` before relying on it as denial-binding material. `evaluation_id` provides the strongest audit binding between the original denial and the submitted Access Request and SHOULD be preferred over `evaluated_at` alone.
REQ-111	S2-030	Access Request Endpoint	396-397	keyword	PEP	-	`evaluated_at` OPTIONAL {{RFC3339}} timestamp echoed from `context.evaluated_at` of the denied evaluation	-	6	6	stay	no	core	-	`evaluated_at`: : OPTIONAL. {{RFC3339}} timestamp indicating when the denial was produced, echoed from `context.evaluated_at` of the denied evaluation.
REQ-112	S2-031	Access Request Endpoint	399-400	keyword	PEP	-	`expires_at` REQUIRED, echoed unchanged from `context.access_request.expires_at` of the denied evaluation	-	6	6	stay	yes	core	split-row with S2-069 (ARS MUST reject late submissions); plan Section 6 withdrew the 240/400/1097 clock-skew merge	`expires_at`: : REQUIRED. {{RFC3339}} timestamp indicating when the requestable denial hint expires, echoed unchanged from `context.access_request.expires_at` of the denied evaluation. The Access Request Service MUST reject submissions received after this time, after applying any clock-skew tolerance it has configured (see {{impl-considerations}}).
REQ-113	S2-069	Access Request Endpoint	399-400	keyword	ARS	submission received after `denial.expires_at`	MUST reject the submission, after applying any configured clock-skew tolerance	configured clock-skew tolerance (see {{impl-considerations}})	6	6	stay	yes	core	split-row partner of S2-031; plan Section 6 withdrew the 240/400/1097 merge because it would strip this skew condition	`expires_at`: : REQUIRED. {{RFC3339}} timestamp indicating when the requestable denial hint expires, echoed unchanged from `context.access_request.expires_at` of the denied evaluation. The Access Request Service MUST reject submissions received after this time, after applying any clock-skew tolerance it has configured (see {{impl-considerations}}).
REQ-114	S2-032	Access Request Endpoint	402-403	keyword	PEP	-	`reason` OPTIONAL string, echoed unchanged from `context.reason` of the denied evaluation	-	6	6	stay	no	core	-	`reason`: : OPTIONAL. String. Machine-readable reason code for the denial, echoed unchanged from `context.reason` of the denied evaluation.
REQ-115	S2-033	Access Request Endpoint	405-406	keyword	PEP	`denial.evaluation_id` absent (REQUIRED); otherwise OPTIONAL	`binding_token` echoed byte-for-byte; the PEP MUST NOT decode, modify, or interpret the value	-	6	6	stay	no	core	restates the PEP opacity rule at 243 (dest 5); consolidation rejected, different dests and each wire-format definition needs the clause	`binding_token`: : REQUIRED when `denial.evaluation_id` is absent; otherwise OPTIONAL. String. Integrity-protected binding material echoed unchanged from `context.access_request.binding_token` of the denied evaluation ({{requestable-denial-context}}). The PEP MUST NOT decode, modify, or interpret this value; it returns the original PDP-issued value byte-for-byte.
REQ-116	S2-034	Access Request Endpoint	408-409	keyword	PEP	PDP provided `context.access_request.template`	`template` OPTIONAL string echoed unchanged; the service uses it to route the request to a workflow	-	6	6	stay	no	core	the routing sentence describes the Access Request Service but carries no keyword; kept as one row under rule 4	`template`: : OPTIONAL. String. Echoed unchanged from `context.access_request.template` of the denied evaluation, when the PDP provided one. The Access Request Service uses this value to route the request to the appropriate workflow.
REQ-117	S2-070	Access Request Endpoint	411	keyword-free	PEP	requestable denial carried `request_schema_url`	PEP determines the additional `context` and `requested_access` members from the referenced JSON Schema	-	6	6	stay	no	core	rule 3: the plan's 329 row names the submission rules 411-421 for 6, beating the `request_schema_url`-to-20 row; the MUST NOT submit rule at 1059 stays in Part I	The PEP determines the additional members of the `context` and `requested_access` objects from the JSON Schema referenced by the requestable denial's `request_schema_url`, when present.
REQ-118	S2-035	Access Request Endpoint	413	keyword	PEP	-	MUST submit an Access Request only for a Decision with `decision` false and a `context.access_request` object present	-	6	6	stay	no	core	restated as conformance bullets at 1055-1056 (dest 10); consolidation rejected, the plan keeps Section 10 as a conformance restatement	A PEP MUST submit an Access Request only for an AuthZEN Decision with `decision` equal to `false` and a `context.access_request` object present in the Decision Context.
REQ-119	S2-036	Access Request Endpoint	415	keyword	PEP	each requested item	submitted `denial` MUST include either `denial.binding_token` or `denial.evaluation_id`	-	6	6	stay	yes	core	split-row with S2-071 (ARS MUST reject); both dest 6	The submitted `denial` object for each requested item MUST include either `denial.binding_token` or `denial.evaluation_id`. The Access Request Service MUST reject a submission that lacks verifiable denial-binding material with `urn:openid:authzen:access-request:error:invalid_denial_binding`.
REQ-120	S2-071	Access Request Endpoint	415	keyword	ARS	submission lacks verifiable denial-binding material	MUST reject with `urn:openid:authzen:access-request:error:invalid_denial_binding`	-	6	6	stay	yes	core	split-row partner of S2-036; same error as 363 but conditioned on missing material rather than non-coverage, so the two are not consolidated	The submitted `denial` object for each requested item MUST include either `denial.binding_token` or `denial.evaluation_id`. The Access Request Service MUST reject a submission that lacks verifiable denial-binding material with `urn:openid:authzen:access-request:error:invalid_denial_binding`.
REQ-121	S2-037	Access Request Endpoint	417	keyword	PEP	-	SHOULD include an `Idempotency-Key` header covering the entire submission body, including all `items` members	-	6	6	stay	no	core	plan Section 4 default keeps idempotency in 6; plan Section 8 independently places the idempotency editor's note in Section 6	A PEP SHOULD include an `Idempotency-Key` header, following the conventions described in {{I-D.ietf-httpapi-idempotency-key-header}}. The Idempotency-Key covers the entire submission body, including all members of the `items` array when present.
REQ-122	S2-038	Access Request Endpoint	419	keyword	ARS	repeated submission with the same `Idempotency-Key` and authenticated requester	SHOULD return the same Task Handle for an equivalent body; MUST reject a materially different body with `...duplicate_request`	equivalence is a single-server comparison and need not be interoperable	6	6	stay	no	core	candidate for 15 rejected: plan Section 4 says the default is that idempotency text stays in 6, and the error at 971 cites {{access-request-submission}}	The Access Request Service SHOULD treat a repeated submission with the same `Idempotency-Key`, the same authenticated requester, and an equivalent submission body as the same request, returning the same Task Handle while the original request remains available. A submission with the same `Idempotency-Key` and authenticated requester but a materially different submission body MUST be rejected with `urn:openid:authzen:access-request:error:duplicate_request`. Two submission bodies are equivalent when they are identical under a deterministic comparison chosen by the Access Request Service (for example, a stable JSON canonicalization that ignores insignificant whitespace and object-member ordering, excluding the `Idempotency-Key` header itself). Because the same Access Request Service that recorded the `Idempotency-Key` evaluates the retry, this comparison is a single-server concern and need not be interoperable across implementations; a body that is not equivalent under it is materially different.
REQ-123	S2-039	Access Request Endpoint	421	keyword	ARS	-	SHOULD retain Idempotency-Key state until `task.expires_at` plus 24 hours after terminal status; MAY reclaim it afterwards	after reclamation a previously seen key is processed as a new submission	6	6	stay	no	core	the one idempotency row a reviewer could still push to 15 if Section 6 must be leaner; default keeps it in 6	The Access Request Service SHOULD retain Idempotency-Key state at least until `task.expires_at` and SHOULD continue to retain it for at least 24 hours after the task reaches a terminal status. This window lets retries from delayed PEP restarts find the original task rather than spawning a duplicate. After the retention window elapses, the Access Request Service MAY reclaim the Idempotency-Key; a submission presenting a previously seen Idempotency-Key whose state has been reclaimed is processed as a new submission.
REQ-124	S2-072	Access Request Endpoint	423-459	keyword-free	Editor	-	non-normative single-item submission example	-	6	6	stay	no	non-normative	row exists so the section-aware comparison script (plan Appendix X) can match this verbatim block; not a defining unit under brief item 2	[example block] Non-normative example: single-item submission with `Idempotency-Key`, subject, resource, action, context, requested_access and a `denial` carrying `evaluation_id`, `binding_token` and `template`.
REQ-125	S2-073	Access Request Endpoint	461-500	keyword-free	Editor	-	non-normative bulk-submission example	-	14	14	move	no	non-normative	plan Section 4 sends the bulk example to 14; row exists for the comparison script. The bundle token at 496 flattens items to strings, register item G15	[example block] Non-normative bulk-submission example: POST with an `items` array of two (resource, action) pairs and a bundle `denial`.
REQ-126	S2-040	Access Request Endpoint	504	keyword	ARS	successful Access Request submission	returns `201 Created` or `202 Accepted` with a `task` member; MAY include a `Location` header equal to `task.status_endpoint`	-	6	6	stay	no	core	the authoritative-endpoint sentence also guides the PEP but states no separate obligation, so no split-row	A successful Access Request submission returns HTTP status code `201 Created` or `202 Accepted` and a JSON object containing a `task` member. The `task.status_endpoint` member is authoritative for subsequent status retrieval. A response MAY also include an HTTP `Location` header equal to `task.status_endpoint`.
REQ-127	S2-074	Access Request Endpoint	506	keyword-free	Definition	-	the response object has the top-level members that follow	-	6	6	stay	no	definition	lead-in for 508-512	The response object has the following top-level members:
REQ-128	S2-041	Access Request Endpoint	508-509	keyword	ARS	-	`task` REQUIRED: the Task Handle returned for the submitted Access Request	-	6	6	stay	no	core	-	`task`: : REQUIRED. Task Handle returned for the submitted Access Request.
REQ-129	S2-042	Access Request Endpoint	511-512	keyword	ARS	task reached completion as governed by {{completed-task-response}}	`result` OPTIONAL except where {{completed-task-response}} requires it	-	6	6	stay	yes	encounter-rule	split-row with S2-075 (PEP MUST NOT treat `result` as approval); both dest 6 | round 3: tag unified to unit level (core -> encounter-rule)	`result`: : OPTIONAL except where required by {{completed-task-response}}. Completion result for the task. A PEP MUST NOT treat this member as approval unless the task is approved and the result is enforceable under {{completion-semantics}}.
REQ-130	S2-075	Access Request Endpoint	511-512	keyword	PEP	`result` present in a response	MUST NOT treat `result` as approval unless the task is approved and the result is enforceable under {{completion-semantics}}	-	6	6	stay	yes	encounter-rule	split-row partner of S2-042; binds a PEP whether or not it uses synchronous completion, so Part I under rule 2	`result`: : OPTIONAL except where required by {{completed-task-response}}. Completion result for the task. A PEP MUST NOT treat this member as approval unless the task is approved and the result is enforceable under {{completion-semantics}}.
REQ-131	S2-043	Access Request Endpoint	514	keyword	ARS	service resolves the request synchronously	SHOULD return `201 Created` with `task.status` already terminal and a populated `result`	-	6	6	stay	yes	encounter-rule	split-row with S2-076 (PEP MUST handle synchronous completion without polling) | round 3: tag unified to unit level (core -> encounter-rule)	When the Access Request Service is able to resolve the request synchronously (for example, when policy auto-approves and provisioning completes within the request), the Access Request Service SHOULD return `201 Created` with `task.status` already set to a terminal value and a populated `result` member ({{completion-semantics}}). PEPs MUST handle this synchronous-completion case without polling; the Task Status Endpoint remains usable for later retrieval but is not on the critical path.
REQ-132	S2-076	Access Request Endpoint	514	keyword	PEP	service returns a terminal status at submission	MUST handle the synchronous-completion case without polling	-	6	6	stay	yes	encounter-rule	split-row partner of S2-043; binds a PEP that never expects synchronous completion, so Part I under rule 2	When the Access Request Service is able to resolve the request synchronously (for example, when policy auto-approves and provisioning completes within the request), the Access Request Service SHOULD return `201 Created` with `task.status` already set to a terminal value and a populated `result` member ({{completion-semantics}}). PEPs MUST handle this synchronous-completion case without polling; the Task Status Endpoint remains usable for later retrieval but is not on the critical path.
REQ-133	S2-077	Access Request Endpoint	516	keyword-free	Definition	-	the `task` object has the members that follow	-	6	6	stay	no	definition	lead-in for the Task Handle members at 518-554, whose rows split across 6, 18 and 14	The `task` object has the following members:
REQ-134	S2-044	Access Request Endpoint	518-519	keyword	ARS	-	`id` REQUIRED, opaque and unguessable; MUST have sufficient entropy and MUST NOT encode semantics a PEP parses	-	6	6	stay	no	core	overlaps 1234 (Task Handle Leakage, dest 7); consolidation rejected, different obligations and different dests	`id`: : REQUIRED. Stable, opaque, and unguessable task identifier. The value MUST contain sufficient entropy to prevent practical guessing and MUST NOT encode semantics that a PEP is expected to parse.
REQ-135	S2-045	Access Request Endpoint	521-522	keyword	ARS	-	`status` REQUIRED, current task status using the values defined in {{task-status}}	-	6	6	stay	no	core	cross-reference to the status enumeration in 7 must resolve after PR A1	`status`: : REQUIRED. Current task status. Values are defined in {{task-status}}.
REQ-136	S2-046	Access Request Endpoint	524-525	keyword	ARS	-	`status_endpoint` REQUIRED HTTPS URI used to retrieve task status	-	6	6	stay	no	core	the proxy allowance for an intermediate enforcer is a permission with a proviso, not a second obligation, so no split-row; rule 4 keeps the unit whole in 6	`status_endpoint`: : REQUIRED. HTTPS URI used to retrieve task status. An intermediate enforcer (such as an OAuth Authorization Server or other gateway acting as PEP) MAY proxy or re-present this endpoint to its own callers; the value advertised to such callers MAY differ from the value the PEP itself uses, provided the proxied endpoint observes the authorization rules defined for the original endpoint.
REQ-137	S2-047	Access Request Endpoint	527-528	keyword	ARS	task has multi-step approvals	`progress` OPTIONAL object; with `items` present it describes aggregate progress, per-item progress being in `task.items[]`	-	18	18	move	no	feature	rule 4: the `items` sentence does not split this unit off to 14	`progress`: : OPTIONAL. Object describing approval workflow progress for tasks with multi-step approvals. When `items` is present, `progress` describes aggregate workflow progress for the bundled task; per-item progress is tracked in `task.items[]`. The following members are defined:
REQ-138	S2-048	Access Request Endpoint	530	keyword	ARS	`progress` present	`current_step` OPTIONAL integer, one-based index of the step in progress	-	18	18	move	no	feature	-	* `current_step`: OPTIONAL. Integer. One-based index of the step currently in progress.
REQ-139	S2-049	Access Request Endpoint	531	keyword	ARS	`progress` present	`total_steps` OPTIONAL integer, total approval steps configured for the task	-	18	18	move	no	feature	-	* `total_steps`: OPTIONAL. Integer. Total number of approval steps configured for the task.
REQ-140	S2-050	Access Request Endpoint	532	keyword	ARS	`progress` present	`step_name` OPTIONAL string, short identifier of the current step	-	18	18	move	no	feature	-	* `step_name`: OPTIONAL. String. Short identifier of the current step (for example, `manager_approval` or `resource_owner_review`).
REQ-141	S2-051	Access Request Endpoint	533	keyword	ARS	`progress` present	`awaiting` OPTIONAL array of expected approvers; implementations SHOULD apply privacy controls before populating it	-	18	18	move	no	feature	cross-reference to {{privacy-considerations}} (23) must resolve after PR A1	* `awaiting`: OPTIONAL. Array. Identifiers of approvers whose action is currently expected. Implementations SHOULD apply privacy controls before populating this member; see {{privacy-considerations}}.
REQ-142	S2-052	Access Request Endpoint	535-536	keyword	ARS	-	`expires_at` OPTIONAL {{RFC3339}} timestamp after which the task handle is no longer valid	-	6	6	stay	no	core	Task Handle core member per plan Section 4; the idempotency retention rule at 421 depends on it and is also in 6	`expires_at`: : OPTIONAL. {{RFC3339}} timestamp after which the task handle is no longer valid.
REQ-143	S2-053	Access Request Endpoint	538-539	keyword	ARS	-	`display` OPTIONAL object of user-interface hints for the pending request	-	6	6	stay	no	feature	1064 (PEP MUST NOT infer approval from display text) stays in Part I | round 4: display and links definitions stay in 6 because the Part I pending Task Handle example (564-586) renders them; progress still goes to 18	`display`: : OPTIONAL. Object containing user-interface hints for the pending request.
REQ-144	S2-054	Access Request Endpoint	541-542	keyword	ARS	-	`links` OPTIONAL object mapping link relation types to HTTPS URIs; implementations MAY define additional relation types	-	6	6	stay	no	feature	only the definition moves; the 1252 exposure rule goes to 7 per the plan's named collision resolution | round 4: display and links definitions stay in 6 because the Part I pending Task Handle example (564-586) renders them; progress still goes to 18	`links`: : OPTIONAL. Object containing related URLs. Each member name is a link relation type and the value is an HTTPS URI. The following relation types are defined; implementations MAY define additional relation types.
REQ-145	S2-078	Access Request Endpoint	544	keyword-free	Definition	`links` present	`ticket` is the URL where the requester (Subject) can view the request and its status	-	6	6	stay	no	definition	type-first member definition; travels with `links` | round 4: display and links definitions stay in 6 because the Part I pending Task Handle example (564-586) renders them; progress still goes to 18	* `ticket`: URL where the requester (Subject) can view the request and its status.
REQ-146	S2-079	Access Request Endpoint	545	keyword-free	Definition	`links` present	`review` is the URL where an approver or administrator can review or act on the request	-	6	6	stay	no	definition	rule 3: the definition follows `links` to 18, while the second sentence of 1252 goes to 7 per the plan's named collision resolution | round 4: display and links definitions stay in 6 because the Part I pending Task Handle example (564-586) renders them; progress still goes to 18	* `review`: URL where an approver or administrator can review or act on the request.
REQ-147	S2-080	Access Request Endpoint	546	keyword-free	Definition	`links` present and PEP-initiated cancellation supported	`cancel` is the URL where the PEP can cancel the request	-	6	6	stay	no	definition	rule 3: the `links` member row beats the Cancellation-to-17 section row; flagged for the second reader | round 4: display and links definitions stay in 6 because the Part I pending Task Handle example (564-586) renders them; progress still goes to 18	* `cancel`: URL where the PEP can cancel the request, when PEP-initiated cancellation is supported.
REQ-148	S2-055	Access Request Endpoint	548-549	keyword	ARS	original submission carried an `items` array	`task.items` REQUIRED, each element corresponding positionally to the submission's `items` member	otherwise OPTIONAL	14	14	move	no	feature	-	`items`: : REQUIRED when the original submission carried an `items` array; otherwise OPTIONAL. Array. Per-item progress for bundled Access Requests. Each element corresponds positionally to the submission's `items` member and has the following members:
REQ-149	S2-056	Access Request Endpoint	551	keyword	ARS	`task.items` present	each item `resource` REQUIRED, echoing the submission	-	14	14	move	no	feature	-	* `resource`: REQUIRED. The AuthZEN Resource for this item, echoing the submission.
REQ-150	S2-057	Access Request Endpoint	552	keyword	ARS	`task.items` present	each item `action` REQUIRED, echoing the submission	-	14	14	move	no	feature	-	* `action`: REQUIRED. The AuthZEN Action for this item.
REQ-151	S2-058	Access Request Endpoint	553	keyword	ARS	`task.items` present	each item `status` REQUIRED, using the values defined in {{task-status}}	-	14	14	move	no	feature	-	* `status`: REQUIRED. Per-item status using the values defined in {{task-status}}.
REQ-152	S2-059	Access Request Endpoint	554	keyword	ARS	item status is `approved`	per-item `result` REQUIRED; OPTIONAL before the item reaches a terminal status	-	14	14	move	no	feature	same shape as the top-level `result`; cross-reference to {{completion-semantics}} (8) must resolve	* `result`: OPTIONAL before the item reaches a terminal status; REQUIRED when the item status is `approved`. Per-item completion result with the same shape as the top-level `result` ({{completion-semantics}}).
REQ-153	S2-081	Access Request Endpoint	556	keyword-free	Definition	`items` present	aggregate `task.status` is computed from per-item statuses by the three rules that follow	-	14	14	move	no	feature	cited as the aggregation rule by 689, 691 and 787; see the anchor question in the report	When the `items` member is present, the aggregate `task.status` is computed from per-item statuses as follows:
REQ-154	S2-082	Access Request Endpoint	558	keyword-free	Definition	any item is `pending` or in an implementation-defined non-terminal status	the aggregate is `pending`	-	14	14	move	no	feature	-	* If any item is `pending` or in an implementation-defined non-terminal status ({{task-status}}), the aggregate is `pending`.
REQ-155	S2-083	Access Request Endpoint	559	keyword-free	Definition	all items share the same terminal status	the aggregate is that status	-	14	14	move	no	feature	-	* Otherwise, if all items share the same terminal status, the aggregate is that status.
REQ-156	S2-084	Access Request Endpoint	560	keyword-free	Definition	two or more distinct terminal statuses present across items	the aggregate is `partial`	-	14	14	move	no	feature	the `partial` enumeration entry at 654 stays in 7 per plan Section 4; only this aggregation rule moves	* Otherwise, with two or more distinct terminal statuses present across items, the aggregate is `partial`.
REQ-157	S2-060	Access Request Endpoint	562	keyword	PEP	PEP processes a bundled task	MUST consult `task.items[].status` and `[].result`; MUST NOT infer per-item outcomes from the aggregate `task.status`	a top-level `result` authorizes an item only when repeated in that item's `result`	14	14	move	no	feature	Part I test applied: a PEP that never submits `items` is already protected by 655 and by 1065, so this may sit in Part II	A PEP processing a bundled task MUST consult `task.items[].status` and `task.items[].result` to determine per-item outcomes; the PEP MUST NOT infer per-item outcomes from the aggregate `task.status` alone. A top-level `result` MUST NOT be used to authorize any individual item in a bundled task unless the same result is also present in that item's `result` member.
REQ-158	S2-085	Access Request Endpoint	564-586	keyword-free	Editor	-	non-normative pending Task Handle response example	-	6	6	stay	no	non-normative	row exists for the comparison script; the example shows `links` and `display`, whose definitions move to 18	[example block] Non-normative example: 202 Accepted Task Handle with `id`, `status`, `status_endpoint`, `expires_at`, `links.cancel` and `display`.
REQ-159	S2-086	Access Request Endpoint	588-609	keyword-free	Editor	-	non-normative synchronous-completion response example	-	6	6	stay	no	non-normative	row exists for the comparison script; cited from 1879. The `approval` object omits `iss` and `aud`, register item G15	[example block] Non-normative synchronous-completion example: 201 Created with `task.status` approved and a populated `result` using `mode` reevaluate.
REQ-160	S3-024	Task Status Endpoint	611	keyword-free	Editor	-	Section heading carrying the anchor {#task-status-endpoint}	-	7	7	stay	no	non-normative	Plan Section 7 does not give this anchor an explicit home, listing it among the anchors whose sections 'move whole'; this section does not move whole (617 -> 18). Section 7's majority rule keeps the anchor on 7.	# Task Status Endpoint {#task-status-endpoint}
REQ-161	S3-025	Task Status Endpoint	613	keyword-free	Definition	-	Defines the Task Status Endpoint as where the PEP retrieves the state of a previously submitted Access Request	-	7	7	stay	no	definition	-	The Task Status Endpoint allows the PEP to retrieve the state of a previously submitted Access Request.
REQ-162	S3-026	Task Status Endpoint	615	keyword-free	PEP	PEP retrieves task state	Calls `status_endpoint` using the HTTP `GET` method as defined in {{RFC9110}}	-	7	7	stay	no	core	Procedure step; no keyword but it fixes the method binding for the endpoint.	The PEP calls the `status_endpoint` using the HTTP `GET` method as defined in {{RFC9110}}.
REQ-163	S3-001	Task Status Endpoint	617	keyword	PEP	A caller holding the Task Handle is not the original submitting PEP (restart, replacement, agent-runtime handoff)	MAY interact with the Task Handle, such as polling status or initiating cancellation	Only if authorized for the original Subject, Resource, Action, task, and requested operation	18	18	move	no	feature	Plan's Section 18 row names '(from 611)'; 617 is the only unit it can mean, parallel to the portability paragraph at 190. Overlaps 1119 (same MAY): cross-reference, not consolidation, because 617 carries rationale 1119 lacks.	The Task Handle is portable across PEP instances and process lifetimes. A caller MAY interact with the Task Handle, such as polling status or initiating cancellation, even if that caller is not the original submitting PEP, provided the caller is authorized for the original Subject, Resource, Action, task, and requested operation. This supports PEP restart, replacement, and agent-runtime handoff, where the Task Handle flows through application context (such as a conversation thread, a session store, or a workflow orchestrator). This profile does not define an enumeration API for tasks belonging to a Subject; Task Handles are exchanged through the channels by which the original Access Request response was delivered.
REQ-164	S3-027	Task Status Endpoint	619-626	keyword-free	Editor	-	Non-normative example of a Task Status Endpoint GET request	-	7	7	stay	no	non-normative	Inline example travels with its flow section (PR A2 keeps one example per flow section); rowed so the comparison script's MOVED/kept lines match an inventory row.	Non-normative example: ~~~ http GET /access/v1/requests/arq_01HX4Y3AJZ7Y56W2F9H8Q8C1V4 HTTP/1.1 Host: pdp.example.com Authorization: Bearer 2YotnFZFEjr1zCsicMWpAA Accept: application/json ~~~
REQ-165	S3-028	Task Status Endpoint	628	keyword-free	ARS	A successful task status response	Returns a JSON object containing a `task` member; completed responses include `result` per {{completed-task-response}}	-	7	7	stay	no	core	-	A successful response returns a JSON object containing a `task` member. Completed task responses include a `result` member according to the rules in {{completed-task-response}}.
REQ-166	S3-002	Task Status Endpoint	630	keyword	PEP	task.status is `pending` and the PEP polls the Task Status Endpoint	MAY poll; SHOULD use exponential backoff with jitter; MUST honour `Retry-After`; MUST stop at `expires_at` or terminal status	PEPs on per-task callbacks or deployment event subscriptions MAY skip polling and retrieve status once per notification	7	7	stay	no	core	The `Retry-After` sentence conditions on ARS behaviour but states no ARS obligation, so this is a single-actor unit.	When a task is `pending`, a PEP MAY poll the Task Status Endpoint to determine completion. PEPs SHOULD use exponential backoff: a starting interval of several seconds, growing to no more than one minute, with jitter applied to spread load across many concurrent pollers. If the Access Request Service returns the `Retry-After` HTTP header (Section 10.2.3 of {{RFC9110}}), the PEP MUST wait at least the indicated duration before issuing the next poll. The PEP MUST stop polling once `task.expires_at` is reached or the task reaches a terminal status ({{state-transitions}}). PEPs subscribed to per-task callbacks ({{callback-completion}}) or to deployment-level event subscriptions MAY skip polling entirely and rely on push notification, falling back to a single status retrieval after each notification to obtain any enforceable `result`.
REQ-167	S3-029	Task Status Endpoint	632	keyword-free	Editor	-	Subsection heading carrying the anchor {#task-status}	-	7	7	stay	no	non-normative	Plan Section 7 gives task-status an explicit home on the Section 7 subsection holding the definitions. Cited at 522, 553, 558, 693, 787, 1017.	## Task Status Values {#task-status}
REQ-168	S3-030	Task Status Endpoint	634	keyword-free	Definition	-	Introduces the list of defined task status values	-	7	7	stay	no	definition	-	The following task status values are defined:
REQ-169	S3-031	Task Status Endpoint	636-637	keyword-free	Definition	-	`pending`: request accepted and awaiting processing or approval	-	7	7	stay	no	definition	-	`pending`: : The request has been accepted and is awaiting processing or approval.
REQ-170	S3-032	Task Status Endpoint	639-640	keyword-free	Definition	-	`approved`: request approved; approval alone does not grant access without an enforceable result	-	7	7	stay	no	definition	Second sentence is a substantive constraint though keyword-free; it is the definitional counterpart of the PEP rules at 512 and 1066.	`approved`: : The request was approved. Approval does not by itself grant access unless accompanied by a result that can be enforced under {{completion-semantics}}.
REQ-171	S3-033	Task Status Endpoint	642-643	keyword-free	Definition	-	`denied`: request denied by the approval workflow	-	7	7	stay	no	definition	-	`denied`: : The request was denied by the approval workflow.
REQ-172	S3-034	Task Status Endpoint	645-646	keyword-free	Definition	-	`expired`: request expired before completion	-	7	7	stay	no	definition	-	`expired`: : The request expired before completion.
REQ-173	S3-035	Task Status Endpoint	648-649	keyword-free	Definition	-	`cancelled`: request cancelled by requester, approver, administrator, or system	-	7	7	stay	no	definition	Restated at 687 and 744; cross-referenced, not consolidated (definition vs transition trigger vs permission).	`cancelled`: : The request was cancelled by the requester, approver, administrator, or system.
REQ-174	S3-036	Task Status Endpoint	651-652	keyword-free	Definition	-	`failed`: request could not be completed due to an error	-	7	7	stay	no	definition	-	`failed`: : The request could not be completed due to an error.
